folder,class,line,basename
Updated ICube Objects 20260915,Clear,L26,20241103_080431_L26_PalletGHU1103131639_Cavity6_B0178LJ_Fail3_Score(0.9327981).bmp
Updated ICube Objects 20260915,Clear,L26,20241103_091941_L26_PalletGHC1103143143_Cavity7_B0178LJ_Fail4_Score(0.9390025).bmp
Updated ICube Objects 20260915,Clear,L26,20241103_125550_L26_C15_9154.bmp
Updated ICube Objects 20260915,Clear,L24,20241104_041220_L24_C5_9059.bmp
Updated ICube Objects 20260915,Clear,L26,20241104_094107_L26_PalletGHD1104145250_Cavity2_B0178LK_Fail7_Score(0.9902036).bmp
Updated ICube Objects 20260915,Clear,L24,20241104_154552_L24_C6_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241104_171855_L24_C1_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241104_191742_L24_C5_9513.bmp
Updated ICube Objects 20260915,Clear,L26,20241104_195821_L26_PalletGHI1105011027_Cavity2_B0178LL_Fail5_Score(0.9646114).bmp
Updated ICube Objects 20260915,Clear,L26,20241104_202839_L26_PalletGHU1105014050_Cavity3_B0178LL_Fail5_Score(0.9586827).bmp
Updated ICube Objects 20260915,Clear,L26,20241105_001916_L26_PalletGHC1105053127_Cavity11_B0178LN_Fail3_Score(0.91694).bmp
Updated ICube Objects 20260915,Clear,L26,20241105_070115_L26_PalletGHT1105121327_Cavity8_B0178LN_Fail4_Score(0.9363841).bmp
Updated ICube Objects 20260915,Clear,L24,20241105_150803_L24_PalletGHO1105200702_Cavity4_B0178J4_Fail2_Score(0.9028395)_0.9999_0.9978.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_054711_L24_C1_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_062653_L24_C6_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_064134_L24_C12_9868_0.9994_0.8278.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_064258_L24_C6_1_0.9994_0.5414.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_070037_L24_C6_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_070316_L24_C10_1_0.9983_0.6691.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_071232_L24_C1_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_071634_L24_C9_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_074256_L24_C14_9570_0.9988_0.5353.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_081332_L24_C7_9094_0.9981_0.6690.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_084917_L24_C15_9568_1.0000_0.5424.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_092538_L24_C6_9726_0.9899_0.7930.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_093643_L24_C6_9899_0.9990_0.7916.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_093649_L24_C12_9495_0.9996_0.7950.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_093649_L24_C14_9600.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_102515_L24_PalletGHE1106152415_Cavity13_B0178J5_Fail3_Score(0.9176527)_0.9991_0.9684.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_114239_L24_C5_9864.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_115527_L24_C6_9107_0.9961_0.4245.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_135919_L24_C9_9909_0.9953_0.7803.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_144058_L24_C11_9141.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_144410_L24_C2_9848_0.9994_0.9672.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_151557_L24_C13_9958_0.9997_0.6834.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_151608_L24_C5_9971.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_152104_L24_C13_9164_0.9980_0.5937.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_160358_L24_C13_9316_0.9988_0.7669.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_160634_L24_C7_9937_0.9966_0.8937.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_162135_L24_C5_9300_0.9993_0.4867.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_175526_L24_C12_9595_0.9994_0.8243.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_203130_L24_C2_9617_0.9997_0.9037.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_211845_L24_C1_9548_0.9986_0.9329.bmp
Updated ICube Objects 20260915,Clear,L24,20241106_212738_L24_C9_9961_0.9971_0.6808.bmp
Updated ICube Objects 20260915,Clear,L26,20241106_233240_L26_C2_9611.bmp
Updated ICube Objects 20260915,Clear,L24,20241107_014424_L24_C9_9404_0.9172_0.9402.bmp
Updated ICube Objects 20260915,Clear,L24,20241107_094736_L24_C5_9405_0.9999_0.8810.bmp
Updated ICube Objects 20260915,Clear,L24,20241107_125820_L24_C15_9526_1.0000_0.8699.bmp
Updated ICube Objects 20260915,Clear,L26,20241107_135820_L26_PalletGHJ1107191025_Cavity5_B0178LP_Fail3_Score(0.922319)_0.3991.bmp
Updated ICube Objects 20260915,Clear,L24,20241107_142714_L24_C1_9887_1.0000_0.7306.bmp
Updated ICube Objects 20260915,Clear,L26,20241107_151017_L26_C2_9763.bmp
Updated ICube Objects 20260915,Clear,L26,20241107_173817_L26_C5_9086.bmp
Updated ICube Objects 20260915,Clear,L26,20241107_174632_L26_C1_9433.bmp
Updated ICube Objects 20260915,Clear,L24,20241107_180043_L24_C7_9365.bmp
Updated ICube Objects 20260915,Clear,L26,20241107_184751_L26_C3_9818.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_032842_L24_PalletGHB1108082750_Cavity3_B0178JH_Fail3_Score(0.9240848)_0.9960_0.9673.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_051933_L26_C1_9111.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_061149_L26_C1_9995.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_071455_L24_C12_9600_0.9628_0.6998.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_083345_L26_C2_9524.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_103407_L26_C2_9107.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_111939_L24_PalletGHB1108161849_Cavity11_B0178JH_Fail3_Score(0.9275034)_0.9985_0.9548.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_112512_L26_C2_9123.bmp
Updated ICube Objects 20260915,Clear,L25,20241108_130403_L25_C2_9264.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_153814_L24_C11_9821_0.9999_0.6638.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_164956_L26_C1_9105.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_190035_L24_PalletGHU1108235951_Cavity10_B0178JH_Fail7_Score(0.9972946)_0.9994_0.9771.bmp
Updated ICube Objects 20260915,Clear,L24,20241108_205150_L24_PalletGHA1109015107_Cavity7_B0178JH_Fail7_Score(0.9894539)_0.9997_0.9711.bmp
Updated ICube Objects 20260915,Clear,L26,20241108_213847_L26_C1_9210.bmp
Updated ICube Objects 20260915,Clear,L26,20241109_000514_L26_C1_9208.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_034446_L24_C1_9355_0.9996_0.4474.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_062259_L24_PalletGHB1109112219_Cavity5_B0178JD_Fail4_Score(0.9345143)_0.9991_0.9904.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_063349_L24_C4_9257_0.9980_0.4419.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_064310_L24_C2_9052_0.9999_0.8554.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_064521_L24_C9_9814_0.9996_0.7113.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_094515_L24_C5_9633_0.9977_0.7265.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_111943_L24_C7_9049.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_120048_L24_C12_9481_0.9955_0.9295.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_120727_L24_C14_9602.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_124243_L24_C12_9911.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_125155_L24_C2_9796_0.9984_0.6906.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_131523_L24_C15_9878.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_145935_L24_C6_9089_0.9994_0.7666.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_170032_L24_C12_9032_0.9991_0.6498.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_173739_L24_C2_9862_0.9999_0.9125.bmp
Updated ICube Objects 20260915,Clear,L25,20241109_210642_L25_PalletGHK1109235533_Cavity8_B0178KH_Fail4_Score(0.9341403)_0.9938_0.9759.bmp
Updated ICube Objects 20260915,Clear,L24,20241109_231006_L24_PalletGHE1110040930_Cavity11_B0178JJ_Fail7_Score(0.9976869)_0.9999_0.9571.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_024055_L24_C2_9546_0.9999_0.7236.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_040620_L24_C1_9761_0.9994_0.4434.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_044159_L24_C5_9488_0.9983_0.7385.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_060953_L24_C6_9354_0.9821_0.5907.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_061426_L24_C10_9724.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_181320_L24_C5_9123.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_190111_L24_PalletGHM1111000036_Cavity14_B0178JM_Fail3_Score(0.9305701)_0.9972_0.9605.bmp
Updated ICube Objects 20260915,Clear,L25,20241110_193540_L25_C3_9725.bmp
Updated ICube Objects 20260915,Clear,L25,20241110_194252_L25_PalletGHT1110223147_Cavity2_B017963_Fail6_Score(0.9704475)_0.9999_0.9522.bmp
Updated ICube Objects 20260915,Clear,L25,20241110_201454_L25_PalletGHM1110230349_Cavity6_B017963_Fail3_Score(0.9327193)_0.9999_0.9614.bmp
Updated ICube Objects 20260915,Clear,L26,20241110_201527_L26_PalletGHS1111012806_Cavity11_B0179FS_Fail7_Score(0.991003)_0.4732.bmp
Updated ICube Objects 20260915,Clear,L24,20241110_215945_L24_PalletGHE1111025911_Cavity8_B0178JN_Fail2_Score(0.9025455)_0.9995_0.9546.bmp
Updated ICube Objects 20260915,Clear,L27,20241111_032438_L27_PalletGHK1111051620_Cavity7_B01796Q_Fail3_Score(0.9239809)_1.0000_0.9690.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_044238_L24_PalletGHU1111094204_Cavity13_B0178JP_Fail6_Score(0.9729211)_0.9990_0.9740.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_052846_L24_C1_1_0.9997_0.6444.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_052923_L24_C1_1_0.9998_0.5698.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053346_L24_C1_1_0.9999_0.3744.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053356_L24_C1_1_0.9999_0.6300.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053500_L24_C1_1_0.9997_0.6024.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053514_L24_C1_1_0.9999_0.3200.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053535_L24_C1_1_1.0000_0.5719.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053535_L24_C6_1_0.9999_0.4234.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053550_L24_C1_1_1.0000_0.4388.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053601_L24_C14_1_0.9999_0.5116.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053610_L24_C1_1_0.9978_0.3162.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_053631_L24_C10_1_0.9999_0.7082.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_054016_L24_C1_1_0.9999_0.5123.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_054619_L24_C1_1_0.9998_0.7637.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_054619_L24_C4_1_0.9992_0.3960.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_054640_L24_C1_1_0.9998_0.7386.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_054857_L24_C1_1_0.9977_0.4585.bmp
Updated ICube Objects 20260915,Clear,L26,20241111_122807_L26_PalletGHM1111174047_Cavity15_B0179FV_Fail7_Score(0.989189)_0.3438.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_135207_L24_PalletGHH1111185129_Cavity14_B0178JS_Fail6_Score(0.9701399)_0.9983_0.9977.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_173010_L24_C11_9986.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_193104_L24_PalletGHS1112003037_Cavity15_B0178JS_Fail5_Score(0.955009)_0.9953_0.9908.bmp
Updated ICube Objects 20260915,Clear,L24,20241111_210055_L24_PalletGHH1112020028_Cavity8_B0178JW_Fail2_Score(0.9043422)_0.9987_0.9621.bmp
Updated ICube Objects 20260915,Clear,L24,20241112_104818_L24_PalletGHF1112154756_Cavity12_B0178JT_Fail3_Score(0.9205828)_0.9693_0.9811.bmp
Updated ICube Objects 20260915,Clear,L24,20241113_042822_L24_PalletGHK1113092800_Cavity14_B0178K2_Fail4_Score(0.9407435)_0.9998_0.9502.bmp
Updated ICube Objects 20260915,Clear,L26,20241113_131628_L26_C1_9329.bmp
Updated ICube Objects 20260915,Clear,L26,20241113_201602_L26_C15_9852.bmp
Updated ICube Objects 20260915,Clear,L24,20241113_220040_L24_PalletGHU1114030021_Cavity12_B01795D_Fail7_Score(0.9927945)_0.9996_0.9560.bmp
Updated ICube Objects 20260915,Clear,L26,20241114_005606_L26_PalletGHK1114060857_Cavity11_B0179GB_Fail4_Score(0.9425887)_0.5093.bmp
Updated ICube Objects 20260915,Clear,L26,20241115_051959_L26_PalletGHQ1115103256_Cavity12_B0179GH_Fail4_Score(0.94403)_0.4484.bmp
Updated ICube Objects 20260915,Clear,L27,20241117_134544_L27_C14_9486.bmp
Updated ICube Objects 20260915,Clear,L27,20241117_233059_L27_C12_9121.bmp
Updated ICube Objects 20260915,Clear,L27,20241119_015300_L27_C6_9311.bmp
Updated ICube Objects 20260915,Clear,L27,20241119_022535_L27_C2_9636.bmp
Updated ICube Objects 20260915,Clear,L24,20241215_174157_L24_C6_1.bmp
Updated ICube Objects 20260915,Clear,L24,20241215_174734_L24_C12_1.bmp
Updated ICube Objects 20260915,Clear,L24,20260728_205544_L24_PalletGHR0729011151_Cavity5_D009FV4_Fail4_Score(0.9362644).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_083225_L24_PalletGHL0729124839_Cavity1_D009FW0_Pass1_Score(0.01889819).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_083239_L24_PalletGHP0729124849_Cavity14_D009FW0_Pass1_Score(0.01325518).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_084711_L24_PalletGHH0729130324_Cavity9_D009FW0_Pass1_Score(0.06907231).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_084729_L24_PalletGHN0729130342_Cavity15_D009FW0_Pass1_Score(0.01164067).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_084946_L24_PalletGHE0729130524_Cavity10_D009FW0_Pass1_Score(0.03348923).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_085406_L24_PalletGHP0729130959_Cavity3_D009FW0_Pass1_Score(0.01463991).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_085406_L24_PalletGHP0729130959_Cavity4_D009FW0_Pass1_Score(0.03892916).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_090850_L24_PalletGHE0729132504_Cavity1_D009FW1_Pass1_Score(0.0656805).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_090953_L24_PalletGHE0729132601_Cavity10_D009FW1_Pass1_Score(0.1083899).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_091238_L24_PalletGHA0729132850_Cavity1_D009FW1_Pass1_Score(0.0181483).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_091517_L24_PalletGHD0729133004_Cavity10_D009FW1_Pass1_Score(0.01532346).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_091623_L24_PalletGHH0729133234_Cavity8_D009FW1_Pass1_Score(0.01691711).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_091710_L24_PalletGHF0729133323_Cavity2_D009FW1_Pass1_Score(0.01723993).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_091845_L24_PalletGHB0729133456_Cavity1_D009FW1_Pass1_Score(0.01303655).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_092113_L24_PalletGHK0729133726_Cavity14_D009FW1_Pass1_Score(0.04085052).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_092808_L24_PalletGHJ0729134420_Cavity12_D009FW2_Pass1_Score(0.1476364).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_092838_L24_PalletGHQ0729134455_Cavity10_D009FW2_Pass1_Score(0.01666176).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_093400_L24_PalletGHQ0729135010_Cavity11_D009FW2_Pass1_Score(0.0157221).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_093416_L24_PalletGHC0729135028_Cavity5_D009FW2_Pass1_Score(0.01205355).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_093442_L24_PalletGHL0729135054_Cavity11_D009FW2_Pass1_Score(0.01128292).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_093613_L24_PalletGHB0729135132_Cavity5_D009FW2_Pass1_Score(0.02981192).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_093725_L24_PalletGHG0729135337_Cavity12_D009FW2_Pass1_Score(0.03129542).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_143304_L24_PalletGHC0729184920_Cavity5_D009FWJ_Pass1_Score(0.01211405).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_143322_L24_PalletGHI0729184935_Cavity11_D009FWJ_Pass1_Score(0.01138461).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_143421_L24_PalletGHJ0729185033_Cavity11_D009FWJ_Pass1_Score(0.02203512).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_143448_L24_PalletGHT0729185102_Cavity5_D009FWJ_Pass1_Score(0.3313486).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_144810_L24_PalletGHB0729190422_Cavity14_D009FWK_Pass1_Score(0.01349139).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_145922_L24_PalletGHC0729191425_Cavity6_D009FWK_Pass1_Score(0.01026464).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_150330_L24_PalletGHC0729191944_Cavity15_D009FWK_Pass1_Score(0.01024431).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_150536_L24_PalletGHI0729192149_Cavity1_D009FWK_Pass1_Score(0.1207644).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_151708_L24_PalletGHH0729193323_Cavity5_D009FWL_Pass1_Score(0.2079257).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_152419_L24_PalletGHN0729194036_Cavity2_D009FWL_Pass1_Score(0.01200747).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_154126_L24_PalletGHB0729195741_Cavity2_D009FWM_Pass1_Score(0.01510483).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_154256_L24_PalletGHL0729195912_Cavity5_D009FWM_Pass1_Score(0.07011002).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_154435_L24_PalletGHO0729200041_Cavity13_D009FWM_Pass1_Score(0.06605607).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_161148_L24_PalletGHS0729202800_Cavity8_D009FWN_Pass1_Score(0.4759806).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_161252_L24_PalletGHS0729202901_Cavity4_D009FWN_Pass1_Score(0.01791459).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_161533_L24_PalletGHO0729203144_Cavity1_D009FWN_Pass1_Score(0.01074678).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_161641_L24_PalletGHP0729203253_Cavity4_D009FWN_Pass1_Score(0.193998).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_170801_L24_PalletGHU0729212140_Cavity12_D009FWQ_Pass1_Score(0.01277125).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_171107_L24_PalletGHQ0729212722_Cavity5_D009FWQ_Pass1_Score(0.007733524).bmp
Updated ICube Objects 20260915,Clear,L24,20260729_171341_L24_PalletGHF0729212954_Cavity4_D009FWQ_Pass1_Score(0.01025271).bmp
